_timestamp,train/global_step,train/mean_token_accuracy,_step,train/loss,train/epoch,train/num_tokens,_runtime,train/entropy,train/learning_rate,train/grad_norm
1766004506.531147,1,0.6495618224143982,0,1.6572024822235107,0.03125,18175.0,14.055010641,1.1484375,0.0,0.2807657718658447
1766004514.8956828,2,0.6701054573059082,1,1.6058642864227295,0.0625,35558.0,22.419441739,1.0703125,0.0002,0.2810508906841278
1766004518.6665235,3,0.6632733941078186,2,1.6075316667556763,0.09375,53272.0,26.19024352,1.1171875,0.00019953823910527058,0.38988611102104187
1766004522.5269034,4,0.6657554507255554,3,1.5939074754714966,0.125,70863.0,30.050639911,1.1484375,0.00019815769471272452,0.5586009621620178
1766004526.3494499,5,0.6825335621833801,4,1.3890353441238403,0.15625,91609.0,33.87320797,1.1171875,0.00019587253307600438,0.5053032040596008
1766004530.2031088,6,0.6729186773300171,5,1.4770128726959229,0.1875,109022.0,37.726863042,1.3125,0.00019270620304582078,0.4188995659351349
1766004534.0190687,7,0.6898567080497742,6,1.3629696369171143,0.21875,126504.0,41.542745365,1.34375,0.0001886911954530124,0.26085469126701355
1766004537.9018972,8,0.6754798293113708,7,1.41544771194458,0.25,144199.0,45.425523193,1.515625,0.0001838687097086549,0.27150067687034607
1766004541.7456298,9,0.6639317870140076,8,1.4724807739257812,0.28125,159588.0,49.269324299,1.7109375,0.00017828823104235118,0.3428516983985901
1766004545.5488284,10,0.6857817769050598,9,1.3405734300613403,0.3125,176134.0,53.07251872,1.5625,0.00017200702271681178,0.36451050639152527
1766004549.4546635,11,0.7054526209831238,10,1.2054932117462158,0.34375,195331.0,56.978373682,1.4609375,0.00016508953842928967,0.3295297622680664
1766004553.2591765,12,0.7069724798202515,11,1.2094364166259766,0.375,213979.0,60.78284383,1.4453125,0.00015760676092942661,0.30100253224372864
1766004557.1161845,13,0.7072937488555908,12,1.222419023513794,0.40625,233891.0,64.639922087,1.453125,0.00014963547364018712,0.24643966555595398
1766004561.1447077,14,0.7153570652008057,13,1.150038242340088,0.4375,251524.0,68.668441778,1.328125,0.00014125747275603383,0.22773133218288422
1766004565.1721904,15,0.7067158222198486,14,1.1766377687454224,0.46875,270824.0,72.696221305,1.390625,0.00013255872790328486,0.21293102204799652
1766004569.1514325,16,0.6865116953849792,15,1.289630651473999,0.5,285654.0,76.67515037,1.4296875,0.0001236284999754119,0.23626336455345154
1766004573.057267,17,0.6802725791931152,16,1.2931079864501953,0.53125,300655.0,80.58092236,1.40625,0.00011455842519548416,0.21856915950775146
1766004577.119827,18,0.7096661329269409,17,1.1468673944473267,0.5625,317881.0,84.643564059,1.21875,0.00010544157480451587,0.19653378427028656
1766004581.185022,19,0.7036019563674927,18,1.1364619731903076,0.59375,337208.0,88.708739004,1.125,9.637150002458813e-05,0.19651009142398834
1766004585.7138646,20,0.7493883371353149,19,0.9665062427520752,0.625,360946.0,93.237615248,1.0078125,8.744127209671516e-05,0.16855484247207642
1766004589.903782,21,0.7696352601051331,20,0.8885749578475952,0.65625,381706.0,97.427552856,0.97265625,7.87425272439662e-05,0.16965661942958832
1766004594.030342,22,0.7181084156036377,21,1.0958516597747803,0.6875,401806.0,101.55404703,1.03125,7.036452635981292e-05,0.20039702951908112
1766004598.012704,23,0.6845077872276306,22,1.2829716205596924,0.71875,416710.0,105.53640409,1.1953125,6.239323907057342e-05,0.2538563311100006
1766004602.077948,24,0.7330998778343201,23,1.013561487197876,0.75,438162.0,109.601714486,1.0078125,5.491046157071034e-05,0.197364941239357
1766004606.1731074,25,0.7039175629615784,24,1.152406930923462,0.78125,458283.0,113.696859055,1.125,4.79929772831882e-05,0.1819506287574768
1766004610.3424456,26,0.7217147946357727,25,1.0936989784240723,0.8125,475833.0,117.866158135,1.078125,4.1711768957648825e-05,0.17483480274677277
1766004614.3822455,27,0.7092152237892151,26,1.1323986053466797,0.84375,494150.0,121.905984441,1.1171875,3.613129029134516e-05,0.17662888765335083
1766004618.5173187,28,0.6968615651130676,27,1.1602294445037842,0.875,511834.0,126.041048832,1.125,3.130880454698761e-05,0.1756269633769989
1766004622.6307468,29,0.6895106434822083,28,1.2317389249801636,0.90625,529522.0,130.154460847,1.1953125,2.7293796954179253e-05,0.1589619517326355
1766004626.7750337,30,0.7212095856666565,29,1.0782586336135864,0.9375,546452.0,134.298761118,1.09375,2.412746692399561e-05,0.1603529453277588
1766004630.932654,31,0.7237630486488342,30,1.072420597076416,0.96875,564512.0,138.456413072,1.0703125,2.18423052872755e-05,0.15953026711940765
1766004635.102711,32,0.6900472044944763,31,1.1943333148956299,1.0,582137.0,142.626453299,1.2421875,2.046176089472944e-05,0.1569647341966629
1766004642.932307,32,,32,,1.0,,150.455725431,,,
