train/entropy,_runtime,train/num_tokens,train/mean_token_accuracy,train/loss,train/global_step,_step,_timestamp,train/grad_norm,train/learning_rate,train/epoch
1.0703125,38.06942694,18175.0,0.6606404781341553,1.7256591320037842,1,0,1766004380.320283,0.44383707642555237,0.0,0.03125
0.984375,58.228474588,35558.0,0.6834188103675842,1.6816725730895996,2,1,1766004400.4795835,0.4430016577243805,0.0002,0.0625
1.03125,72.735483502,53272.0,0.6755457520484924,1.6379978656768799,3,2,1766004414.986694,1.0972230434417725,0.00019953823910527058,0.09375
1.1328125,87.590662954,70863.0,0.6813030242919922,1.5215425491333008,4,3,1766004429.8418176,0.9076822996139526,0.00019815769471272452,0.125
1.1875,103.043270077,91609.0,0.7053200602531433,1.2510883808135986,5,4,1766004445.2944968,0.3325466513633728,0.00019587253307600438,0.15625
1.3984375,117.295627269,109022.0,0.6986939907073975,1.3319733142852783,6,5,1766004459.5467987,0.29491397738456726,0.00019270620304582078,0.1875
1.40625,131.371989379,126504.0,0.7120916843414307,1.2297024726867676,7,6,1766004473.623235,0.41832980513572693,0.0001886911954530124,0.21875
1.5,145.777672402,144199.0,0.6970503330230713,1.275248408317566,8,7,1766004488.0288694,0.4242229461669922,0.0001838687097086549,0.25
1.4921875,160.586817751,159588.0,0.6888715028762817,1.2954843044281006,9,8,1766004502.8380017,0.49959230422973633,0.00017828823104235118,0.28125
1.25,175.338508001,176134.0,0.7128496766090393,1.1692543029785156,10,9,1766004517.5896885,0.38321033120155334,0.00017200702271681178,0.3125
1.1171875,190.478644753,195331.0,0.7290894985198975,1.0296896696090698,11,10,1766004532.7298355,0.26337680220603943,0.00016508953842928967,0.34375
1.0546875,205.709409547,213979.0,0.7332939505577087,1.0411431789398193,12,11,1766004547.9605918,0.35031136870384216,0.00015760676092942661,0.375
1.03125,220.930723595,233891.0,0.7225854992866516,1.0567429065704346,13,12,1766004563.181989,0.27156639099121094,0.00014963547364018712,0.40625
0.9453125,235.741279101,251524.0,0.7386512160301208,0.9949488639831543,14,13,1766004577.992428,0.27289506793022156,0.00014125747275603383,0.4375
0.98046875,250.567626943,270824.0,0.728202223777771,1.0273983478546143,15,14,1766004592.8187954,0.267934113740921,0.00013255872790328486,0.46875
1.0625,265.089518374,285654.0,0.7116502523422241,1.129521369934082,16,15,1766004607.3406866,0.31791558861732483,0.0001236284999754119,0.5
1.1015625,280.433912538,300655.0,0.706794023513794,1.1247985363006592,17,16,1766004622.6850562,0.26707908511161804,0.00011455842519548416,0.53125
1.0078125,295.09051903,317881.0,0.7381063103675842,0.9881885051727295,18,17,1766004637.341703,0.2849855422973633,0.00010544157480451587,0.5625
0.98828125,309.595333067,337208.0,0.7272868752479553,0.9902101755142212,19,18,1766004651.8465233,0.5282521843910217,9.637150002458813e-05,0.59375
0.9296875,331.692600038,360946.0,0.7711549997329712,0.8404214978218079,20,19,1766004673.9438667,0.1521437019109726,8.744127209671516e-05,0.625
0.8984375,353.89396345,381706.0,0.7856040000915527,0.7764410972595215,21,20,1766004696.1451764,0.1537930965423584,7.87425272439662e-05,0.65625
0.9765625,368.581856945,401806.0,0.7383894920349121,0.9608428478240967,22,21,1766004710.833062,0.17150141298770905,7.036452635981292e-05,0.6875
1.1484375,383.037389745,416710.0,0.7027299404144287,1.1222805976867676,23,22,1766004725.288614,0.2078295350074768,6.239323907057342e-05,0.71875
0.9765625,397.947641419,438162.0,0.753734827041626,0.8827488422393799,24,23,1766004740.1988537,0.16108281910419464,5.491046157071034e-05,0.75
1.0859375,412.666570946,458283.0,0.7220867276191711,1.008958101272583,25,24,1766004754.91774,0.2120835781097412,4.79929772831882e-05,0.78125
1.03125,427.327975662,475833.0,0.7419226169586182,0.9512619972229004,26,25,1766004769.5791702,0.17651736736297607,4.1711768957648825e-05,0.8125
1.0625,441.949404248,494150.0,0.7290128469467163,0.9987255334854126,27,26,1766004784.2006416,0.17017032206058502,3.613129029134516e-05,0.84375
1.0546875,456.631256432,511834.0,0.7196351885795593,1.0178837776184082,28,27,1766004798.882428,0.17701907455921173,3.130880454698761e-05,0.875
1.1171875,471.387610921,529522.0,0.7050861120223999,1.0913810729980469,29,28,1766004813.638889,0.17178970575332642,2.7293796954179253e-05,0.90625
1.0078125,485.867200708,546452.0,0.7417445778846741,0.9394316673278809,30,29,1766004828.1184118,0.17069298028945923,2.412746692399561e-05,0.9375
0.9921875,501.224740897,564512.0,0.7449523210525513,0.9296156764030457,31,30,1766004843.4759817,0.16527968645095825,2.18423052872755e-05,0.96875
1.1328125,516.296194627,582137.0,0.7093730568885803,1.0535204410552979,32,31,1766004858.5473325,0.18431852757930756,2.046176089472944e-05,1.0
,539.403798508,,,,32,32,1766004881.655201,,,1.0
